index,post_id_x,reply_id_x,female_most_frequent_label,female_votes,post_id_y,reply_id_y,prediction
24,17212309861089630208,7213440000000000000,FALSE ASSERTION,2,17212309861089629397,7213436467281141349,FALSE ASSERTION
40,225288318251128288,4629310000000000000,HYPERBOLE,3,225288318251128266,4629313374876462186,OXYMORON
99,17101699480099239936,15609300000000000000,FALSE ASSERTION,2,17101699480099236488,15609252204141551532,EUPHEMISM
80,4360074657789536256,16013400000000000000,EUPHEMISM,2,4360074657789536204,16013385024775975826,EUPHEMISM
51,1096004385442002944,18443900000000000000,FALSE ASSERTION,1,1096004385442002764,18443942209355330178,OXYMORON
78,10282731906424629248,15817800000000000000,ANALOGY,2,10282731906424625452,15817763508420977203,RHETORICAL QUESTION
0,7961696982295378944,15902900000000000000,CONTEXT SHIFT,3,7961696982295378594,15902869978243358740,EUPHEMISM
61,11899879421757480960,699644000000000000,CONTEXT SHIFT,1,11899879421757476087,699644003890646908,EUPHEMISM
46,630286693384318080,11609600000000000000,HYPERBOLE,2,630286693384318110,11609603629506075583,ANALOGY
69,11854247542220259328,17907300000000000000,CONTEXT SHIFT,1,11854247542220259733,17907323798396250315,EUPHEMISM
6,18184193230015000576,3263700000000000000,OTHER,2,18184193230015004878,3263697220254276145,EUPHEMISM
44,15313632188181430272,1809560000000000000,RHETORICAL QUESTION,2,15313632188181428820,1809564958676124831,RHETORICAL QUESTION
32,10294703797536010240,14854400000000000000,ANALOGY,1,10294703797536010927,14854425964142098611,EUPHEMISM
13,7033897647878070272,4174370000000000000,CONTEXT SHIFT,3,7033897647878069845,4174365284286873253,ANALOGY
93,12561098575626790912,12674400000000000000,EUPHEMISM,2,12561098575626788279,12674379110877124783,EUPHEMISM
39,11611645251669049344,7556330000000000000,CONTEXT SHIFT,2,11611645251669047719,7556327041522555872,RHETORICAL QUESTION
58,7954843239286609920,8178510000000000000,CONTEXT SHIFT,2,7954843239286609472,8178514984662953460,ANALOGY
83,15452154017271209984,11998800000000000000,CONTEXT SHIFT,1,15452154017271209005,11998771725444375193,ANALOGY
96,1236265448438971904,4088920000000000000,CONTEXT SHIFT,1,1236265448438971802,4088917524353094583,OXYMORON
23,15318882553031809024,1457720000000000000,CONTEXT SHIFT,2,15318882553031808002,1457715404934972674,ANALOGY
97,9838181499890583552,10423300000000000000,EUPHEMISM,1,9838181499890583489,10423294332678156256,EUPHEMISM
20,7462581045673427968,14235400000000000000,RHETORICAL QUESTION,2,7462581045673427940,14235387086314957124,RHETORICAL QUESTION
22,10765217889857900544,12979700000000000000,OTHER,2,10765217889857901124,12979662768096991244,OTHER
45,18387398790699239424,14325300000000000000,OTHER,2,18387398790699243464,14325289729255053535,OXYMORON
76,4712286480051747840,4224410000000000000,OTHER,2,4712286480051747486,4224412406036902847,RHETORICAL QUESTION
94,12802596261741490176,6395060000000000000,CONTEXT SHIFT,2,12802596261741493988,6395061022726320747,EUPHEMISM FAILURE
57,6386761469479286784,6876180000000000000,CONTEXT SHIFT,2,6386761469479287029,6876182389500383664,RHETORICAL QUESTION
75,6358833546371151872,2866560000000000000,ANALOGY,2,6358833546371152076,2866558935812545471,OXYMORON
59,492369763312032128,17520700000000000000,ANALOGY,1,492369763312032140,17520746427191105100,OXYMORON
26,5168625731641847808,6591050000000000000,CONTEXT SHIFT,1,5168625731641847314,6591052851845140780,EUPHEMISM
62,8482609725250125824,11859000000000000000,EUPHEMISM,2,8482609725250126267,11858972309289678173,HYPERBOLE
21,13615235974994190336,17921100000000000000,RHETORICAL QUESTION,2,13615235974994192540,17921102227611080135,RHETORICAL QUESTION
84,15145496112429019136,11505300000000000000,ANALOGY,2,15145496112429022382,11505263211788103267,ANALOGY
88,9408805770120683520,2035190000000000000,HYPERBOLE,3,9408805770120683449,2035191926981981266,RHETORICAL QUESTION
35,955066013186157056,7841040000000000000,ANALOGY,2,955066013186157002,7841042260941017515,ANALOGY
66,13943343828615460864,9688060000000000000,ANALOGY,2,13943343828615455796,9688064331281294454,ANALOGY
56,3564946252259166208,11499800000000000000,RHETORICAL QUESTION,3,3564946252259166350,11499789980177999013,OXYMORON
14,14927487631298500608,3984510000000000000,FALSE ASSERTION,2,14927487631298501188,3984511296452077107,EUPHEMISM
87,11755500963030939648,12431600000000000000,OTHER,3,11755500963030936367,12431617714239409455,ANALOGY
82,13415829529808369664,7787860000000000000,HYPERBOLE,2,13415829529808365513,7787856245661930304,ANALOGY
10,8374295896122236928,9960700000000000000,OTHER,2,8374295896122236596,9960698491608353483,OTHER
33,1387389979920722944,7871260000000000000,CONTEXT SHIFT,1,1387389979920722676,7871259135814432605,RHETORICAL QUESTION
98,3078947007140050944,10710000000000000000,HYPERBOLE,2,3078947007140051398,10709996288788790791,EUPHEMISM
81,5724857037789025280,13083000000000000000,RHETORICAL QUESTION,3,5724857037789024993,13083017520244062607,CONTEXT SHIFT
91,16626886395331850240,7533790000000000000,FALSE ASSERTION,2,16626886395331853970,7533785234591007556,EUPHEMISM
37,4178595591294574080,16143900000000000000,CONTEXT SHIFT,2,4178595591294573730,16143875424791040166,CORRECTION
68,16300389213436499968,7681940000000000000,OTHER,2,16300389213436496259,7681944978638246803,ANALOGY
16,3045493691802176000,5881810000000000000,CONTEXT SHIFT,2,3045493691802176106,5881810090518876243,HYPERBOLE
1,4824587311292975104,4652170000000000000,RHETORICAL QUESTION,2,4824587311292975614,4652172244294165548,RHETORICAL QUESTION
15,13999466197412390912,8582060000000000000,OTHER,1,13999466197412393302,8582060949257759582,RHETORICAL QUESTION
79,5969871576465133568,14017200000000000000,FALSE ASSERTION,2,5969871576465133572,14017237498418812081,ANALOGY
60,9470135544203663360,7580360000000000000,OXYMORON,2,9470135544203662717,7580355702657891160,FALSE ASSERTION
19,1894119167367809024,9033280000000000000,OTHER,2,1894119167367808702,9033282269550186760,ANALOGY
30,16167343742615099392,5036060000000000000,ANALOGY,1,16167343742615103161,5036061917792258129,ZETASIS
89,1679217763483685120,6187690000000000000,CONTEXT SHIFT,2,1679217763483684543,6187694910865506918,RHETORICAL QUESTION
63,2968926351009075200,10391400000000000000,ANALOGY,1,2968926351009075011,10391367793507987684,ANALOGY
64,7477401530957351936,1206180000000000000,RHETORICAL QUESTION,3,7477401530957352384,1206181939592110880,RHETORICAL QUESTION
100,10426144657201930240,4379940000000000000,OTHER,2,10426144657201928929,4379935730836888699,ANALOGY
42,11369149162983489536,7888320000000000000,CONTEXT SHIFT,2,11369149162983494502,7888316588408967420,RHETORICAL QUESTION
